Model,day_urban_T2,day_urban_TC_URB,day_urban_SNET_URB,day_urban_LNET_URB,day_urban_LNET_plus_SNET_URB,day_urban_GRDFLX,day_urban_HFX,day_urban_LH_URB,day_urban_LH,day_urban_LWDNB,day_urban_LWUPB,day_urban_QC_URB,day_urban_SH_URB,day_urban_SWDNB,day_urban_SWUPB,day_urban_TB_URB,day_urban_TG_URB,day_urban_TR_URB,day_urban_TS_URB,day_urban_RH,day_urban_WS,day_nonurban_T2,day_nonurban_TC_URB,day_nonurban_SNET_URB,day_nonurban_LNET_URB,day_nonurban_LNET_plus_SNET_URB,day_nonurban_GRDFLX,day_nonurban_HFX,day_nonurban_LH_URB,day_nonurban_LH,day_nonurban_LWDNB,day_nonurban_LWUPB,day_nonurban_QC_URB,day_nonurban_SH_URB,day_nonurban_SWDNB,day_nonurban_SWUPB,day_nonurban_TB_URB,day_nonurban_TG_URB,day_nonurban_TR_URB,day_nonurban_TS_URB,day_nonurban_RH,day_nonurban_WS,night_urban_T2,night_urban_TC_URB,night_urban_SNET_URB,night_urban_LNET_URB,night_urban_LNET_plus_SNET_URB,night_urban_GRDFLX,night_urban_HFX,night_urban_LH_URB,night_urban_LH,night_urban_LWDNB,night_urban_LWUPB,night_urban_QC_URB,night_urban_SH_URB,night_urban_SWDNB,night_urban_SWUPB,night_urban_TB_URB,night_urban_TG_URB,night_urban_TR_URB,night_urban_TS_URB,night_urban_RH,night_urban_WS,night_nonurban_T2,night_nonurban_TC_URB,night_nonurban_SNET_URB,night_nonurban_LNET_URB,night_nonurban_LNET_plus_SNET_URB,night_nonurban_GRDFLX,night_nonurban_HFX,night_nonurban_LH_URB,night_nonurban_LH,night_nonurban_LWDNB,night_nonurban_LWUPB,night_nonurban_QC_URB,night_nonurban_SH_URB,night_nonurban_SWDNB,night_nonurban_SWUPB,night_nonurban_TB_URB,night_nonurban_TG_URB,night_nonurban_TR_URB,night_nonurban_TS_URB,night_nonurban_RH,night_nonurban_WS
WRF_PCE_07_LA_30,299.5325,310.48944,526.5904,-258.2371,268.3533,-67.0063,123.23587,0.0,113.70152,14474793.0,19400680.0,0.010188657,165.59705,24652980.0,3335578.0,315.6796,324.21838,310.72275,303.29184,51.3834,2.1486144,297.11334,303.1492,0.26196396,-0.3308395,-0.0688755,-26.148811,172.15082,0.0,28.034918,14120841.0,19828250.0,0.00986842,0.18866003,24766682.0,5842764.0,307.20605,306.55994,307.19614,307.1854,36.665318,4.219639,293.33667,296.75943,0.0,-100.93264,-100.93264,79.527275,-2.389402,0.0,-0.97986776,14176016.0,17507972.0,0.01019297,10.290279,0.0,0.0,302.76746,297.00845,294.5853,296.10223,68.623276,1.1162435,295.70798,307.19122,0.0,0.0,0.0,31.672167,-29.601103,0.0,5.370017,13867325.0,17241382.0,0.009999999,0.0,0.0,0.0,307.19122,307.19122,307.19122,307.19122,43.801685,3.2397292
WRF_PCE_07_LA_31,299.53726,310.07227,499.4208,-242.82854,256.59225,-65.46642,119.86076,0.0,112.685715,14273304.0,19101352.0,0.010219279,155.03539,24255888.0,3410118.2,315.66156,324.02698,302.48184,303.22763,51.418182,2.1445,301.07962,307.1912,0.0,0.0,0.0,-25.327574,172.09975,0.0,28.278927,13860983.0,19511588.0,0.009999998,0.0,24521480.0,5677840.0,307.1912,307.1912,299.1072,307.1912,36.693947,4.1871367,293.40558,297.45013,0.0,-104.773384,-104.773384,83.9538,-0.30417758,0.0,-0.949616,14176021.0,17552446.0,0.01018495,13.956955,0.0,0.0,303.30908,297.687,294.4166,296.4155,68.16785,1.1370836,288.91486,300.2096,0.0,-0.28733337,-0.28733337,31.529224,-29.536188,0.0,5.196083,13858675.0,17223794.0,0.009772726,0.031121494,0.0,0.0,307.18048,306.04593,307.1546,307.15976,43.8235,3.2113228
WRF_PCE_07_LA_32,299.55695,310.8552,524.81146,-263.76218,261.0494,-69.18466,117.38185,0.0,112.0883,14681157.0,19666480.0,0.010217886,158.62122,24416048.0,3219415.2,316.10327,324.4821,311.3604,303.2771,51.37252,1.7779418,301.0894,307.1912,0.0,0.0,0.0,-26.32183,171.98686,0.0,28.201069,14251060.0,20093642.0,0.009999998,0.0,24766412.0,5843878.5,307.1912,307.1912,307.1912,307.1912,36.659893,4.2641716,293.3866,297.3074,0.0,-105.33648,-105.33648,84.19427,-0.26242283,0.0,-0.95273995,14194396.0,17548114.0,0.010212129,13.1580305,0.0,0.0,303.36646,297.56216,294.86603,296.40045,68.27621,0.92008424,295.6952,307.19122,0.0,0.0,0.0,31.654835,-29.54815,0.0,5.3085494,13861659.0,17235606.0,0.009999999,0.0,0.0,0.0,307.19122,307.19122,307.19122,307.19122,43.76183,3.2195754
WRF_PCE_07_LA_33,299.52884,310.19244,485.25632,-232.87508,252.38126,-68.69879,115.07135,0.0,109.82831,14227840.0,19090530.0,0.010236357,153.91293,23837724.0,3609408.5,315.4631,323.13858,297.51416,303.18777,51.503162,1.83603,288.2976,294.21133,1.2441685,-1.1112461,0.13292238,-23.791662,162.52286,0.0,26.667433,13751008.0,19465796.0,0.009577462,0.64310217,23581072.0,5490113.5,307.2238,305.15784,294.2049,307.1621,36.761486,4.1674943,293.63702,298.56464,0.0,-110.05369,-110.05369,90.178635,2.670796,0.0,-0.8137743,14217489.0,17648872.0,0.01020491,19.197645,0.0,0.0,304.20462,298.841,294.91647,296.97665,67.2939,1.0059549,295.70566,307.19122,0.0,0.0,0.0,31.625238,-29.577213,0.0,5.335477,13863307.0,17237168.0,0.009999999,0.0,0.0,0.0,307.19122,307.19122,307.19122,307.19122,43.74782,3.2231688
WRF_PCE_07_LA_34,299.58304,310.33078,514.3619,-249.34866,265.01324,-70.60896,122.49442,0.0,114.6039,14666316.0,19676890.0,0.010201775,165.53468,24797560.0,3572955.2,315.74686,324.3003,306.51862,303.31326,51.228348,2.1846123,292.98645,298.88873,1.5977665,-0.935837,0.66192955,-26.630722,175.4132,0.0,27.842325,14186306.0,20120660.0,0.009729728,0.6563498,25004136.0,5839933.5,307.23282,305.92868,303.0635,307.18317,36.57893,4.282705,293.4997,297.55783,0.0,-104.727005,-104.727005,84.001976,-0.3248596,0.0,-0.9055655,14193746.0,17576734.0,0.01020969,14.146293,0.0,0.0,303.45828,297.84122,294.6771,296.50165,68.02575,1.1384509,282.58762,293.53827,0.0,-0.5615524,-0.5615524,31.856071,-29.521036,0.0,5.083114,13862721.0,17237884.0,0.009555554,0.052207675,0.0,0.0,307.1563,304.94006,307.10617,307.12006,43.70614,3.2145524
WRF_PCE_07_LA_35,299.5997,310.27725,517.89813,-256.01932,261.87878,-65.45089,121.02403,0.0,113.124535,14672069.0,19673234.0,0.01018779,165.13017,24461836.0,3430731.8,315.87335,324.3321,310.9262,303.33368,51.071938,2.2507663,297.08105,303.0953,0.30640313,-0.1891454,0.11725771,-25.724527,170.51862,0.0,27.992311,14239907.0,20067488.0,0.009866665,0.037934057,24579262.0,5797987.0,307.17795,306.52173,307.16257,307.16852,36.597984,4.3027344,293.41614,297.25473,0.0,-100.46941,-100.46941,79.26576,-0.8860108,0.0,-0.9382931,13862438.0,17168124.0,0.010193466,12.9556875,0.0,0.0,303.20926,297.52106,281.47455,296.3483,68.2544,1.1284959,295.69186,307.19122,0.0,0.0,0.0,30.282015,-29.683638,0.0,5.3559704,13464942.0,16862440.0,0.009999999,0.0,0.0,0.0,307.19122,307.19122,293.53827,307.19122,43.771626,3.188305
WRF_PCE_07_LA_36,299.70065,310.90375,528.4214,-252.75829,275.66315,-81.10907,116.25201,0.0,114.70253,14316532.0,19194020.0,0.010267466,151.55873,25054158.0,3518530.8,316.28848,324.6654,307.89786,303.34818,51.137207,1.6155044,297.21954,303.0953,0.007162616,-0.2915131,-0.28435045,-26.909658,174.7611,0.0,28.386185,13940687.0,19623676.0,0.009866665,0.12032233,25054688.0,5895683.5,307.2002,306.53912,303.09152,307.1818,36.514652,4.168679,293.6875,298.62173,0.0,-112.4829,-112.4829,91.7777,3.7324717,0.0,-0.78899103,14223725.0,17672606.0,0.010204211,20.521072,0.0,0.0,304.42365,298.91226,288.5635,297.13666,66.95202,0.87823945,295.7189,307.19122,0.0,0.0,0.0,31.158466,-29.447603,0.0,5.3125386,13773652.0,17239156.0,0.009999999,0.0,0.0,0.0,307.19122,307.19122,300.2096,307.19122,43.747543,3.209881
WRF_PCE_07_LA_37,299.5896,310.76596,507.42938,-256.20282,251.2266,-65.43873,120.77499,0.0,113.03927,14480473.0,19419016.0,0.010217363,162.76045,24315140.0,3196334.5,316.0679,324.52676,302.71512,303.3579,51.313633,1.9735649,301.1284,307.1912,0.0,0.0,0.0,-25.641562,173.31114,0.0,28.334993,14009186.0,19848720.0,0.009999999,0.0,24580482.0,5676926.5,307.1912,307.1912,298.99942,307.1912,36.685135,4.2394724,293.4017,297.1442,0.0,-101.33338,-101.33338,82.179924,-0.99642235,0.0,-0.94695795,13548007.0,16728518.0,0.010226455,11.838311,0.0,0.0,303.20227,297.42834,294.81973,296.3129,68.48683,0.98291373,295.74997,307.19122,0.0,0.0,0.0,31.502522,-29.528124,0.0,5.329341,13419353.0,16448479.0,0.009999999,0.0,0.0,0.0,307.19122,307.19122,307.19122,307.19122,43.809586,3.1072505
WRF_PCE_07_LA_38,299.58966,310.08768,524.9756,-256.52097,268.45468,-66.35367,124.76648,0.0,114.4781,14676463.0,19676692.0,0.01019336,170.55617,24739274.0,3437473.8,315.56934,324.2544,310.5948,303.32132,51.25123,2.4822702,297.13156,303.0953,0.017451866,-0.1616891,-0.14423726,-26.352646,172.01035,0.0,28.189089,14247663.0,20078654.0,0.009866665,-0.0037386552,24753596.0,5840666.5,307.1751,306.51303,307.158,307.16922,36.66206,4.2734637,293.3411,296.71448,0.0,-99.29936,-99.29936,78.866356,-2.6338758,0.0,-0.9672641,13863434.0,17119298.0,0.010196884,10.222128,0.0,0.0,302.69757,296.98083,294.42456,296.05914,68.77296,1.2303288,289.15485,300.36475,0.0,-0.28124666,-0.28124666,31.575813,-29.66552,0.0,5.2812023,13645746.0,16862614.0,0.009777776,-0.002696754,0.0,0.0,307.16916,306.06293,307.14133,307.15616,43.847137,3.187895
WRF_PCE_07_LA_39,299.52838,310.74518,523.0911,-261.12003,261.9711,-68.96753,118.44609,0.0,111.91369,14677850.0,19660142.0,0.010226317,159.85895,24427136.0,3271654.2,315.93314,324.30356,311.14017,303.25256,51.51375,1.8415407,297.11078,303.1492,0.8871751,-0.5191204,0.36805478,-26.296673,171.95016,0.0,27.757738,14252384.0,20092664.0,0.00986842,0.38582316,24766530.0,5839746.5,307.21768,306.58554,307.21085,307.18945,36.682827,4.257924,293.33044,297.14862,0.0,-103.957146,-103.957146,82.76302,-0.83266443,0.0,-0.9844564,14179818.0,17526250.0,0.010204726,12.248399,0.0,0.0,303.1661,297.36566,294.70273,296.2842,68.49663,0.95454276,282.51498,293.53827,0.0,-0.6542397,-0.6542397,31.995792,-29.37186,0.0,5.094857,13863690.0,17237748.0,0.009555554,0.11786568,0.0,0.0,307.17816,304.9629,307.13034,307.13406,43.8166,3.199317
